Year, GDP Per Capita, Annual Growth Rate (%), 
1960,82.1886,,
1961,85.3543,3.85,
1962,89.8818,5.3,
1963,101.1264,12.51,
1964,115.5375,14.25,
1965,119.3189,3.27,
1966,89.9973,-24.57,
1967,96.3391,7.05,
1968,99.876,3.67,
1969,107.6223,7.76,
1970,112.4345,4.47,
1971,118.6032,5.49,
1972,122.9819,3.69,
1973,143.7787,16.91,
1974,163.4781,13.7,
1975,158.0362,-3.33,
1976,161.0921,1.93,
1977,186.2135,15.59,
1978,205.6934,10.46,
1979,224.001,8.9,
1980,266.5778,19.01,
1981,270.4706,1.46,
1982,274.1113,1.35,
1983,291.2381,6.25,
1984,276.668,-5,
1985,296.4352,7.14,
1986,310.4659,4.73,
1987,340.4168,9.65,
1988,354.1493,4.03,
1989,346.1129,-2.27,
1990,367.5566,6.2,
1991,303.0556,-17.55,
1992,316.9539,4.59,
1993,301.159,-4.98,
1994,346.103,14.92,
1995,373.7665,7.99,
1996,399.9501,7.01,
1997,415.4938,3.89,
1998,413.2989,-0.53,
1999,441.9988,6.94,
2000,443.3142,0.3,
2001,451.573,1.86,
2002,470.9868,4.3,
2003,546.7266,16.08,
2004,627.7742,14.82,
2005,714.861,13.87,
2006,806.7533,12.85,
2007,1028.3348,27.47,
2008,998.5223,-2.9,
2009,1101.9608,10.36,
2010,1357.5637,23.2,
2011,1458.1035,7.41,
2012,1443.8795,-0.98,
2013,1449.6059,0.4,
2014,1573.8815,8.57,
2015,1605.6054,2.02,
2016,1732.5643,7.91,
2017,1981.651,14.38,
2018,2005.863,1.22,
2019,2104.1459,4.9,